,frame number max,amplitude max,frame number min,amplitude min,frame number mean,amplitude mean
0,0,255,0,0,0,39.121697203471555
1,1,17,1,0,1,0.17687238829958213
2,2,17,2,0,2,0.16782385085181614
3,3,17,3,0,3,0.17859209257473482
4,4,18,4,0,4,0.1787367405978785
5,5,18,5,0,5,0.1806332369013179
6,6,17,6,0,6,0.18942462230793958
7,7,19,7,0,7,0.17430086788813887
8,8,205,8,0,8,13.420732883317262
9,9,201,9,0,9,11.794439087110254
10,10,198,10,0,10,9.976486660237866
11,11,198,11,0,11,9.194840887174541
12,12,192,12,0,12,8.760189649630345
13,13,186,13,0,13,8.48625843780135
14,14,190,14,0,14,8.327659916425587
15,15,184,15,0,15,8.223754419800708
16,16,186,16,0,16,8.13055287688846
17,17,181,17,0,17,8.071198971391835
18,18,255,18,0,18,32.43711025393764
19,19,183,19,0,19,7.973625843780135
20,20,182,20,0,20,7.934361941497911
21,21,184,21,0,21,7.922259723561556
22,22,185,22,0,22,7.8898746383799425
23,23,180,23,0,23,7.869736419157827
24,24,184,24,0,24,7.89344262295082
25,25,188,25,0,25,7.853150112504018
26,26,187,26,0,26,7.86427193828351
27,27,190,27,0,27,7.871906139504983
28,28,187,28,0,28,7.829620700739312
29,29,187,29,0,29,7.867422050787528
30,30,187,30,0,30,7.89408550305368
31,31,187,31,0,31,7.901816136290582
32,32,196,32,0,32,7.8888460302153645
33,33,185,33,0,33,7.916152362584378
34,34,189,34,0,34,7.925795564127291
35,35,191,35,0,35,7.933140469302475
36,36,193,36,0,36,7.975522340083574
37,37,192,37,0,37,8.004339440694311
38,38,255,38,0,38,32.76370941819351
39,39,198,39,0,39,7.992044358727098
40,40,196,40,0,40,8.033638701382193
41,41,195,41,0,41,8.038090646094503
42,42,202,42,0,42,8.058727097396336
43,43,195,43,0,43,8.070234651237545
44,44,197,44,0,44,8.0898424943748
45,45,194,45,0,45,8.099935711989714
46,46,198,46,0,46,8.122259723561555
47,47,201,47,0,47,8.146383799421407
48,48,197,48,0,48,8.1023143683703
49,49,202,49,0,49,8.167084538733526
50,50,200,50,0,50,8.16861137897782
51,51,199,51,0,51,8.19345869495339
52,52,198,52,0,52,8.21036644165863
53,53,204,53,0,53,8.222452587592414
54,54,204,54,0,54,8.229540340726455
55,55,209,55,0,55,8.248087431693989
56,56,201,56,0,56,8.264127290260367
57,57,203,57,0,57,8.296014143362262
58,58,255,58,0,58,33.91335583413694
59,59,198,59,0,59,8.268241722918676
60,60,199,60,0,60,8.32843137254902
61,61,200,61,0,61,8.315814850530376
62,62,201,62,0,62,8.35030536804886
63,63,203,63,0,63,8.379476052716168
64,64,202,64,0,64,8.386274509803922
65,65,204,65,0,65,8.421536483445838
66,66,198,66,0,66,8.437704918032788
67,67,204,67,0,67,8.431758277081324
68,68,200,68,0,68,8.392639022822244
69,69,61,69,0,69,2.2432497589199616
70,70,63,70,0,70,2.264513018322083
71,71,61,71,0,71,2.2703953712632594
72,72,59,72,0,72,2.285647701703632
73,73,59,73,0,73,2.310527161684346
74,74,60,74,0,74,2.316618450658952
75,75,61,75,0,75,2.342462230793957
76,76,59,76,0,76,2.3769366763098683
77,77,59,77,0,77,2.387560270009643
78,78,255,78,0,78,34.659852137576344
79,79,59,79,0,79,2.4713275474124075
80,80,60,80,0,80,2.474059787849566
81,81,61,81,0,81,2.4868048858887817
82,82,61,82,0,82,2.5257634201221473
83,83,60,83,0,83,2.5326261652201865
84,84,62,84,0,84,2.5434426229508196
85,85,62,85,0,85,2.5684506589521052
86,86,60,86,0,86,2.607344905175185
87,87,62,87,0,87,2.615911282545805
88,88,60,88,0,88,2.6137254901960785
89,89,59,89,0,89,2.6773063323690134
90,90,61,90,0,90,2.6820636451301834
91,91,64,91,0,91,2.691417550626808
92,92,60,92,0,92,2.696174863387978
93,93,63,93,0,93,2.7058502089360332
94,94,61,94,0,94,2.7304403728704596
95,95,60,95,0,95,2.7494856959177114
96,96,58,96,0,96,2.7554162648666023
97,97,58,97,0,97,2.7673095467695275
98,98,255,98,0,98,39.924911603985855
99,99,61,99,0,99,2.817727418836387
100,100,59,100,0,100,2.796753455480553
101,101,59,101,0,101,2.8023625843780136
102,102,59,102,0,102,2.8090967534554805
103,103,62,103,0,103,2.8178238508518163
104,104,62,104,0,104,2.8262937962070076
105,105,58,105,0,105,2.826904532304725
106,106,60,106,0,106,2.821584699453552
107,107,61,107,0,107,2.838829958212793
108,108,59,108,0,108,2.8168756027000965
109,109,60,109,0,109,2.84069431051109
110,110,62,110,0,110,2.8353101896496304
111,111,60,111,0,111,2.8447123111539696
112,112,62,112,0,112,2.851092896174863
113,113,60,113,0,113,2.8685149469623914
114,114,60,114,0,114,2.861796849887496
115,115,62,115,0,115,2.860125361620058
116,116,60,116,0,116,2.8582610093217613
117,117,61,117,0,117,2.868402442944391
118,118,255,118,0,118,41.076872388299584
119,119,60,119,0,119,2.89577306332369
120,120,60,120,0,120,2.8767116682738667
121,121,63,121,0,121,2.8886531661845067
122,122,61,122,0,122,2.8846994535519124
123,123,61,123,0,123,2.880327868852459
124,124,62,124,0,124,2.888910318225651
125,125,59,125,0,125,2.877917068466731
126,126,62,126,0,126,2.879861780777885
127,127,59,127,0,127,2.8999196399871425
128,128,62,128,0,128,2.8679845708775313
129,129,209,129,0,129,13.354050144648022
130,130,211,130,0,130,13.37335261973642
131,131,214,131,0,131,13.349276759884281
132,132,205,132,0,132,13.284908389585341
133,133,215,133,0,133,13.229058180649309
134,134,209,134,0,134,13.170845387335262
135,135,210,135,0,135,13.102909032465446
136,136,206,136,0,136,13.047492767598843
137,137,205,137,0,137,12.987865638058501
138,138,255,138,0,138,46.47071681131469
139,139,207,139,0,139,12.836290581806493
140,140,205,140,0,140,12.771616843458695
141,141,206,141,0,141,12.737785278045644
142,142,207,142,0,142,12.677579556412729
143,143,210,143,0,143,12.62600450016072
144,144,205,144,0,144,12.604741240758598
145,145,206,145,0,145,12.565605914496947
146,146,204,146,0,146,12.533011893281904
147,147,209,147,0,147,12.494792671166827
148,148,203,148,0,148,12.411555769848924
149,149,202,149,0,149,12.426583092253296
150,150,203,150,0,150,12.416698810671809
151,151,203,151,0,151,12.39598199935712
152,152,205,152,0,152,12.393571198971392
153,153,209,153,0,153,12.378045644487303
154,154,202,154,0,154,12.381581485053038
155,155,206,155,0,155,12.351333976213436
156,156,204,156,0,156,12.364432658309225
157,157,204,157,0,157,12.34821600771456
158,158,255,158,0,158,44.94429443908711
159,159,202,159,0,159,12.324124075859853
160,160,205,160,0,160,12.330633236901319
161,161,208,161,0,161,12.3524268723883
162,162,205,162,0,162,12.332529733204757
163,163,204,163,0,163,12.363404050144648
164,164,204,164,0,164,12.373529411764705
165,165,207,165,0,165,12.368948891031822
166,166,204,166,0,166,12.385808421729347
167,167,204,167,0,167,12.391578270652523
168,168,207,168,0,168,12.34598199935712
169,169,209,169,0,169,12.406798457087753
170,170,204,170,0,170,12.444374799099968
171,171,212,171,0,171,12.421488267438123
172,172,205,172,0,172,12.44852137576342
173,173,203,173,0,173,12.45295724847316
174,174,206,174,0,174,12.478913532626166
175,175,204,175,0,175,12.477643844423016
176,176,206,176,0,176,12.481629701060752
177,177,205,177,0,177,12.501317904210865
178,178,255,178,0,178,44.96343619414979
179,179,206,179,0,179,12.471086467373835
180,180,210,180,0,180,12.49406943105111
181,181,204,181,0,181,12.494390871102539
182,182,200,182,0,182,12.503262616522019
183,183,204,183,0,183,12.521536483445837
184,184,203,184,0,184,12.529540340726454
185,185,208,185,0,185,12.556830601092896
186,186,206,186,0,186,12.551671488267438
187,187,202,187,0,187,12.57367405978785
188,188,210,188,0,188,12.49429443908711
189,189,61,189,0,189,3.180568948891032
190,190,60,190,0,190,3.344969463195114
191,191,60,191,0,191,3.339344262295082
192,192,61,192,0,192,3.31775956284153
193,193,62,193,0,193,3.3081967213114756
194,194,61,194,0,194,3.2792028286724526
195,195,61,195,0,195,3.241128254580521
196,196,58,196,0,196,3.207939569270331
197,197,59,197,0,197,3.176984892317583
198,198,255,198,0,198,41.710559305689486
199,199,61,199,0,199,3.171954355512697
200,200,59,200,0,200,3.1721954355512696
201,201,60,201,0,201,3.144133719061395
202,202,63,202,0,202,3.141256830601093
203,203,58,203,0,203,3.141353262616522
204,204,62,204,0,204,3.133252973320476
205,205,59,205,0,205,3.111989713918354
206,206,59,206,0,206,3.118466730954677
207,207,58,207,0,207,3.1215043394406945
208,208,60,208,0,208,3.0964641594342655
209,209,61,209,0,209,3.1211025393764062
210,210,60,210,0,210,3.111491481838637
211,211,59,211,0,211,3.105657344905175
212,212,59,212,0,212,3.118836387013822
213,213,62,213,0,213,3.122275795564127
214,214,61,214,0,214,3.124220507875281
215,215,60,215,0,215,3.113371906139505
216,216,61,216,0,216,3.095917711346834
217,217,59,217,0,217,3.1243490838958534
218,218,255,218,0,218,42.68698167791707
219,219,61,219,0,219,3.1578270652523304
220,220,58,220,0,220,3.135985213757634
221,221,59,221,0,221,3.126647380263581
222,222,59,222,0,222,3.130697524911604
223,223,60,223,0,223,3.103680488588878
224,224,59,224,0,224,3.10824493731919
225,225,58,225,0,225,3.1094985535197686
226,226,59,226,0,226,3.1020250723240115
227,227,61,227,0,227,3.09946962391514
228,228,60,228,0,228,3.063580842172935
229,229,58,229,0,229,3.0990999678559947
230,230,57,230,0,230,3.0818868531018966
231,231,60,231,0,231,3.0762295081967213
232,232,57,232,0,232,3.0811153969784635
233,233,58,233,0,233,3.0740115718418517
234,234,57,234,0,234,3.0631790421086467
235,235,60,235,0,235,3.0851655416264867
236,236,58,236,0,236,3.0723400835744132
237,237,57,237,0,237,3.0782224365155897
238,238,255,238,0,238,42.52045965927355
239,239,58,239,0,239,3.0943587270973962
240,240,57,240,0,240,3.0651237544198007
